design,inquiry,estimator,outcome,term,communities_per_arm,effect_size_matching,diagnosand,estimate,std.error,conf.low,conf.high
design_1,ATE,Matched CEM,Y,Z,5,0.01,mean_estimand,0.01,0,0.01,0.01
design_1,ATE,Matched CEM,Y,Z,5,0.01,mean_estimate,0.014014153247872176,0.021259039843737317,-0.025011151749790465,0.060110487853351297
design_1,ATE,Matched CEM,Y,Z,5,0.01,bias,0.004014153247872171,0.021259039843737317,-0.03501115174979047,0.05011048785335128
design_1,ATE,Matched CEM,Y,Z,5,0.01,sd_estimate,0.21272267467056633,0.013420675925821426,0.18979969445249012,0.23607336446641197
design_1,ATE,Matched CEM,Y,Z,5,0.01,rmse,0.21169445052269795,0.013310526313373296,0.18958708289820264,0.23525870275787464
design_1,ATE,Matched CEM,Y,Z,5,0.01,power,0.08,0.027255617528661624,0.04,0.14524999999999993
design_1,ATE,Matched CEM,Y,Z,5,0.01,coverage,0.92,0.02725561752866161,0.85475,0.96
design_2,ATE,Matched CEM,Y,Z,30,0.01,mean_estimand,0.01,0,0.01,0.01
design_2,ATE,Matched CEM,Y,Z,30,0.01,mean_estimate,0.006399091231144952,0.011920903927714242,-0.020967625725793335,0.027174240659679265
design_2,ATE,Matched CEM,Y,Z,30,0.01,bias,-0.0036009087688550485,0.011920903927714242,-0.030967625725793334,0.017174240659679263
design_2,ATE,Matched CEM,Y,Z,30,0.01,sd_estimate,0.11014933326000419,0.007661782979356645,0.09606667189567503,0.12387182769194055
design_2,ATE,Matched CEM,Y,Z,30,0.01,rmse,0.10965634229450136,0.007347658730625693,0.09611806126002391,0.12386111684618428
design_2,ATE,Matched CEM,Y,Z,30,0.01,power,0.18,0.030686423148626584,0.12,0.2352499999999999
design_2,ATE,Matched CEM,Y,Z,30,0.01,coverage,0.8,0.03221832090628252,0.73475,0.8552499999999998
design_3,ATE,Matched CEM,Y,Z,50,0.01,mean_estimand,0.01,0,0.01,0.01
design_3,ATE,Matched CEM,Y,Z,50,0.01,mean_estimate,0.022096277767104617,0.012742921354719222,-0.0014388577808318237,0.05414789291355338
design_3,ATE,Matched CEM,Y,Z,50,0.01,bias,0.012096277767104617,0.012742921354719222,-0.011438857780831823,0.04414789291355338
design_3,ATE,Matched CEM,Y,Z,50,0.01,sd_estimate,0.11397281106106341,0.007255388290042243,0.10188962486261019,0.12961453250286467
design_3,ATE,Matched CEM,Y,Z,50,0.01,rmse,0.1140448314496023,0.007812416830591859,0.1025678270418939,0.13052615092001188
design_3,ATE,Matched CEM,Y,Z,50,0.01,power,0.37,0.04377386794825784,0.3,0.4704999999999998
design_3,ATE,Matched CEM,Y,Z,50,0.01,coverage,0.61,0.04611097724210823,0.51475,0.68
design_4,ATE,Matched CEM,Y,Z,5,0.2,mean_estimand,0.2,0,0.2,0.2
design_4,ATE,Matched CEM,Y,Z,5,0.2,mean_estimate,0.21627028877259538,0.021516647143253093,0.174172786687745,0.25287156573399094
design_4,ATE,Matched CEM,Y,Z,5,0.2,bias,0.01627028877259536,0.021516647143253093,-0.025827213312255022,0.05287156573399094
design_4,ATE,Matched CEM,Y,Z,5,0.2,sd_estimate,0.21131660446833955,0.015865799811935165,0.17629988789664516,0.23744257054754092
design_4,ATE,Matched CEM,Y,Z,5,0.2,rmse,0.21088594677581535,0.015931278250576903,0.1767618169315831,0.23709853783662257
design_4,ATE,Matched CEM,Y,Z,5,0.2,power,0.3,0.04952409881700386,0.20475000000000002,0.39524999999999993
design_4,ATE,Matched CEM,Y,Z,5,0.2,coverage,0.85,0.039020326223467926,0.77475,0.9304999999999999
design_5,ATE,Matched CEM,Y,Z,30,0.2,mean_estimand,0.2,0,0.2,0.2
design_5,ATE,Matched CEM,Y,Z,30,0.2,mean_estimate,0.23905267696271099,0.013473931863024593,0.21361568471047737,0.2575028969753696
design_5,ATE,Matched CEM,Y,Z,30,0.2,bias,0.039052676962710975,0.013473931863024593,0.013615684710477369,0.05750289697536959
design_5,ATE,Matched CEM,Y,Z,30,0.2,sd_estimate,0.1239450589314628,0.009549316881533806,0.1076469359891496,0.14318178220156963
design_5,ATE,Matched CEM,Y,Z,30,0.2,rmse,0.12935944277532432,0.009910483662065013,0.11024514595794341,0.14642896940124975
design_5,ATE,Matched CEM,Y,Z,30,0.2,power,0.83,0.039931633494453396,0.7395,0.88
design_5,ATE,Matched CEM,Y,Z,30,0.2,coverage,0.69,0.04534614346637128,0.62,0.78
design_6,ATE,Matched CEM,Y,Z,50,0.2,mean_estimand,0.2,0,0.2,0.2
design_6,ATE,Matched CEM,Y,Z,50,0.2,mean_estimate,0.229177537531483,0.011765540695472157,0.21024755170399706,0.2519050475184773
design_6,ATE,Matched CEM,Y,Z,50,0.2,bias,0.029177537531483007,0.011765540695472157,0.010247551703997056,0.05190504751847729
design_6,ATE,Matched CEM,Y,Z,50,0.2,sd_estimate,0.12042576675144492,0.008414502035695296,0.10689900752274631,0.13626012961505643
design_6,ATE,Matched CEM,Y,Z,50,0.2,rmse,0.12332343792279626,0.008768452174036248,0.10939437751103676,0.1383535933336849
design_6,ATE,Matched CEM,Y,Z,50,0.2,power,0.88,0.033298618286619355,0.8147500000000001,0.94
design_6,ATE,Matched CEM,Y,Z,50,0.2,coverage,0.61,0.045602033447484064,0.51,0.67
design_7,ATE,Matched CEM,Y,Z,5,0.3,mean_estimand,0.3,0,0.3,0.3
design_7,ATE,Matched CEM,Y,Z,5,0.3,mean_estimate,0.3242771750582167,0.021562217868380668,0.28318298814790765,0.3656541918730748
design_7,ATE,Matched CEM,Y,Z,5,0.3,bias,0.024277175058216673,0.021562217868380668,-0.01681701185209232,0.06565419187307482
design_7,ATE,Matched CEM,Y,Z,5,0.3,sd_estimate,0.20550026204918748,0.013770412042150616,0.1806791119463754,0.23105809534774663
design_7,ATE,Matched CEM,Y,Z,5,0.3,rmse,0.20590637521473,0.013424228124699063,0.18133999851889354,0.23098225685223844
design_7,ATE,Matched CEM,Y,Z,5,0.3,power,0.48,0.05403805243632594,0.37475,0.5652499999999999
design_7,ATE,Matched CEM,Y,Z,5,0.3,coverage,0.82,0.043012330860587006,0.75,0.8952499999999999
design_8,ATE,Matched CEM,Y,Z,30,0.3,mean_estimand,0.3,0,0.3,0.3
design_8,ATE,Matched CEM,Y,Z,30,0.3,mean_estimate,0.3109089351757797,0.013523191814201654,0.2861457367954286,0.3368533239083096
design_8,ATE,Matched CEM,Y,Z,30,0.3,bias,0.01090893517577975,0.013523191814201651,-0.013854263204571391,0.03685332390830958
design_8,ATE,Matched CEM,Y,Z,30,0.3,sd_estimate,0.1314788187745264,0.009023786392010189,0.11576561620711381,0.14792421037924097
design_8,ATE,Matched CEM,Y,Z,30,0.3,rmse,0.13127382776147983,0.00883010076301745,0.11569236301137378,0.14726033864612614
design_8,ATE,Matched CEM,Y,Z,30,0.3,power,0.9,0.03161255344564142,0.84,0.96
design_8,ATE,Matched CEM,Y,Z,30,0.3,coverage,0.58,0.053851648071345036,0.46475,0.6752499999999999
design_9,ATE,Matched CEM,Y,Z,50,0.3,mean_estimand,0.3,0,0.3,0.3
design_9,ATE,Matched CEM,Y,Z,50,0.3,mean_estimate,0.29679608884680303,0.010446229680450404,0.2718874073264292,0.31321751712230217
design_9,ATE,Matched CEM,Y,Z,50,0.3,bias,-0.0032039111531969736,0.010446229680450407,-0.02811259267357078,0.013217517122302215
design_9,ATE,Matched CEM,Y,Z,50,0.3,sd_estimate,0.10827920912904009,0.007896125944789565,0.09014821094725078,0.11975716628962879
design_9,ATE,Matched CEM,Y,Z,50,0.3,rmse,0.1077840818720087,0.007842342317057556,0.08987849950639233,0.1197829668345832
design_9,ATE,Matched CEM,Y,Z,50,0.3,power,0.97,0.020231987873991362,0.92,1
design_9,ATE,Matched CEM,Y,Z,50,0.3,coverage,0.59,0.04858097478551775,0.49475,0.67
